state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
ME,92,area_code_415,True,False,0,130.7,113,260.6,122,244.2,98,9.4,2,2,True
ND,88,area_code_415,False,False,0,161.5,92,173.5,108,206.2,95,7.9,4,2,False
CT,77,area_code_415,False,False,0,245.2,87,254.1,83,239.4,91,7.5,4,0,True
ME,193,area_code_415,False,True,31,71.2,58,124.7,105,155.5,108,11.7,3,0,False
MO,60,area_code_408,False,False,0,162.8,117,163.2,121,242.4,140,14.2,2,1,False
WY,34,area_code_408,False,False,0,128.8,80,208.7,93,202.1,103,14.0,7,1,False
VA,92,area_code_510,True,False,0,252.3,120,207.0,112,284.6,95,12.0,5,3,True
UT,117,area_code_408,True,True,15,178.8,81,286.1,85,229.4,128,7.1,5,1,False
MT,131,area_code_415,False,True,24,135.9,60,233.2,78,210.6,121,9.4,4,1,False
NY,137,area_code_415,True,False,0,174.0,123,161.3,115,260.7,98,11.4,3,2,False
VT,93,area_code_415,False,True,37,230.4,95,155.5,89,179.0,90,10.4,9,3,False
ME,89,area_code_415,False,False,0,242.5,71,213.3,109,231.0,84,6.3,3,3,False
MT,80,area_code_510,True,True,30,184.2,132,167.5,109,212.8,114,10.0,10,0,False
ME,58,area_code_415,False,True,29,239.6,84,182.1,80,118.3,100,11.0,3,2,False
PA,135,area_code_415,False,True,46,172.6,77,203.4,102,264.2,108,10.4,2,1,False
WV,121,area_code_510,False,False,0,177.2,142,123.5,88,213.2,51,8.4,6,1,False
WY,148,area_code_408,False,False,0,243.0,115,191.8,91,117.8,93,13.4,5,2,False
SD,137,area_code_415,False,False,0,144.5,119,167.3,89,175.1,76,6.1,4,5,True
NM,118,area_code_510,False,False,0,205.2,115,184.8,137,176.1,115,7.0,6,0,False
CT,97,area_code_415,False,False,0,215.3,58,242.4,91,279.8,105,12.1,9,0,False
KY,77,area_code_415,False,True,32,192.2,101,165.4,84,230.2,129,8.0,6,1,False
MS,77,area_code_408,False,False,0,230.0,87,103.2,138,309.6,136,11.3,3,2,False
ND,127,area_code_415,False,True,23,182.0,80,216.1,85,156.9,82,9.8,4,1,False
MD,135,area_code_408,True,True,41,173.1,85,203.9,107,122.2,78,14.6,15,0,True
MA,69,area_code_510,False,False,0,195.1,91,261.5,57,203.8,90,11.4,5,0,False
OH,65,area_code_415,False,False,0,245.7,139,241.9,113,285.3,117,4.2,5,4,True
OR,177,area_code_408,False,False,0,84.9,77,257.5,109,210.5,66,7.5,5,2,False
LA,112,area_code_510,False,False,0,174.5,127,259.3,71,170.5,120,11.3,7,1,False
NY,76,area_code_415,False,False,0,201.5,127,155.2,91,249.6,103,8.6,1,2,False
SD,87,area_code_415,False,True,33,125.0,99,235.3,81,215.3,95,10.2,7,2,False
VA,123,area_code_408,False,False,0,154.3,107,183.0,111,54.0,134,10.9,8,0,False
NH,56,area_code_415,False,True,24,121.7,87,184.0,76,266.6,98,12.7,3,1,False
CA,65,area_code_408,False,False,0,182.5,58,201.9,93,189.1,97,8.6,5,1,False
SD,98,area_code_415,False,False,0,0.0,0,159.6,130,167.1,88,6.8,1,4,True
PA,101,area_code_415,False,False,0,206.6,105,224.9,117,249.9,100,14.6,3,0,False
WI,87,area_code_510,False,True,24,135.8,108,251.4,62,181.5,91,6.4,4,0,False
VT,152,area_code_415,False,False,0,197.1,126,130.1,76,78.1,100,7.4,4,3,False
WA,54,area_code_415,False,True,28,217.4,98,246.2,120,127.0,92,7.5,8,1,False
SD,95,area_code_408,False,True,20,165.7,78,215.6,94,243.3,91,9.8,6,0,False
MN,186,area_code_415,False,True,26,74.3,107,177.3,116,296.3,90,14.5,3,2,False
MD,67,area_code_415,False,False,0,171.7,80,110.4,81,195.4,111,11.9,4,2,False
SC,209,area_code_510,False,False,0,255.1,124,230.6,110,218.0,69,8.5,5,3,True
MI,102,area_code_510,False,False,0,242.2,88,233.2,89,188.5,121,6.2,6,3,False
ID,92,area_code_415,False,True,23,167.4,83,258.6,129,116.4,110,11.2,3,4,False
OH,95,area_code_510,False,True,24,129.4,120,159.8,68,214.4,83,12.6,4,4,True
FL,158,area_code_415,False,False,0,123.3,115,130.4,91,243.7,119,11.2,3,3,False
SD,87,area_code_510,False,False,0,184.5,81,172.0,103,183.4,96,13.7,3,3,False
IA,21,area_code_408,False,False,0,138.1,79,186.9,75,194.2,105,12.1,1,0,False
ME,120,area_code_510,False,False,0,163.6,109,237.3,95,186.2,141,12.3,5,0,False
NH,138,area_code_415,False,False,0,157.5,96,271.7,107,138.2,84,10.7,6,2,False
FL,87,area_code_415,False,False,0,176.6,83,221.6,101,185.3,89,9.4,1,0,False
ME,148,area_code_408,False,True,33,241.7,84,165.8,84,160.6,80,11.3,3,1,False
ID,106,area_code_510,False,False,0,160.8,73,170.4,112,249.2,131,7.2,3,1,False
TX,92,area_code_408,False,False,0,91.7,90,193.7,123,175.0,86,9.2,4,2,False
ID,77,area_code_510,False,True,29,211.1,89,223.5,97,148.4,106,9.7,9,2,False
NJ,83,area_code_415,False,False,0,167.0,120,209.1,102,131.0,107,8.6,2,1,False
VA,164,area_code_415,False,False,0,123.3,78,170.0,85,165.9,78,12.7,2,1,False
PA,129,area_code_510,False,True,32,211.0,99,155.1,89,234.8,96,11.4,5,1,False
NE,115,area_code_415,True,False,0,147.7,105,184.1,68,153.5,102,12.7,5,0,False
WV,73,area_code_415,False,False,0,240.3,130,162.5,83,231.9,136,11.9,3,0,False
ME,82,area_code_510,False,True,29,207.2,111,254.1,137,169.3,92,9.5,5,2,False
IL,134,area_code_408,False,False,0,183.8,111,123.5,92,160.7,105,6.1,2,1,False
TX,26,area_code_415,True,False,0,194.4,105,238.3,100,239.1,129,9.6,5,0,False
KS,127,area_code_415,False,False,0,221.0,100,160.7,113,233.1,96,6.8,4,2,False
WI,131,area_code_415,False,True,39,69.1,122,101.3,136,104.8,94,9.1,4,0,False
TX,82,area_code_408,False,False,0,200.3,96,201.2,102,206.1,60,7.1,1,4,False
ND,56,area_code_510,False,False,0,164.3,92,233.7,107,187.3,104,11.8,1,2,False
NV,138,area_code_408,False,False,0,180.5,82,242.4,103,244.4,89,10.3,7,2,False
DE,50,area_code_510,False,True,39,147.3,75,244.8,74,216.9,101,13.2,3,2,False
WV,70,area_code_415,False,False,0,214.8,87,131.0,114,216.9,104,9.4,3,3,False
TN,78,area_code_415,True,False,0,71.5,126,166.8,127,211.6,86,8.3,2,3,True
OR,66,area_code_408,False,False,0,87.6,76,262.0,111,184.6,125,9.2,5,1,False
KS,36,area_code_510,False,False,0,178.6,83,213.1,103,198.0,119,10.9,5,1,False
TX,82,area_code_415,False,False,0,130.0,110,185.3,88,178.7,105,8.3,4,0,False
NM,132,area_code_408,False,False,0,214.6,78,251.7,98,240.8,88,13.9,2,0,False
AZ,98,area_code_408,False,True,40,212.1,90,233.9,110,234.0,84,7.1,4,0,False
PA,83,area_code_415,False,False,0,228.4,113,163.3,103,248.0,114,7.8,6,1,False
AZ,108,area_code_415,False,False,0,193.3,126,154.7,85,174.8,98,9.4,6,3,False
OH,110,area_code_415,False,True,37,227.9,80,101.9,141,188.1,110,5.1,6,0,False
CA,73,area_code_415,False,False,0,137.6,113,179.7,75,172.8,71,10.7,2,1,True
CO,101,area_code_415,False,True,39,147.2,105,168.8,96,165.3,118,13.0,4,1,False
DE,122,area_code_415,False,True,30,237.7,94,154.7,91,223.1,98,9.5,3,1,False
CA,19,area_code_408,False,False,0,146.8,99,190.5,101,146.1,68,9.3,2,0,False
OK,78,area_code_415,False,False,0,290.5,119,158.4,75,255.6,101,8.6,6,2,True
DE,142,area_code_408,False,False,0,187.0,133,134.6,74,242.2,127,7.4,5,2,False
MN,96,area_code_415,False,True,27,261.3,96,220.9,101,179.4,97,11.3,2,1,False
NJ,119,area_code_408,False,False,0,287.1,83,218.4,124,151.5,42,11.0,4,1,True
GA,56,area_code_415,False,True,30,127.1,89,172.1,116,194.6,111,12.1,3,1,False
CT,74,area_code_408,False,False,0,157.1,95,213.1,36,280.4,77,7.6,3,2,False
MI,98,area_code_415,False,True,23,168.9,98,226.3,117,165.5,96,14.3,3,0,False
TX,97,area_code_510,False,False,0,144.2,91,226.7,137,144.6,72,13.8,4,3,False
KY,98,area_code_415,False,True,36,168.0,81,163.2,125,172.7,120,8.0,2,6,True
ME,66,area_code_510,False,False,0,118.0,133,248.1,99,214.4,122,5.3,5,1,False
TN,93,area_code_408,False,False,0,172.3,135,318.7,95,131.5,104,11.5,4,3,False
KS,124,area_code_510,False,True,37,161.2,109,204.2,79,231.5,87,8.9,4,1,False
UT,110,area_code_408,False,False,0,192.6,102,178.9,118,214.6,74,9.4,4,1,False
CT,72,area_code_408,False,True,21,186.7,108,335.0,86,187.2,119,16.5,4,1,False
MO,83,area_code_510,False,False,0,133.9,82,169.6,105,222.8,114,11.7,4,0,False
WV,173,area_code_415,False,False,0,191.4,114,168.5,138,109.3,99,10.3,3,1,False
DC,165,area_code_510,False,False,0,195.2,84,229.5,116,185.3,147,11.9,3,0,False
NM,68,area_code_415,False,False,0,248.6,59,199.1,126,112.5,117,6.5,3,2,False
MO,87,area_code_415,True,False,0,128.9,71,281.9,91,209.1,100,9.9,4,0,False
SD,106,area_code_415,False,False,0,94.8,113,283.2,95,219.3,106,6.8,4,1,False
KY,89,area_code_408,False,False,0,192.1,83,163.6,88,169.7,138,6.1,3,0,False
FL,98,area_code_408,False,False,0,92.3,128,250.1,89,211.9,110,10.8,16,3,False
WV,86,area_code_415,False,True,38,123.0,158,133.9,119,138.2,103,13.3,4,1,False
VA,103,area_code_415,False,False,0,228.4,103,97.3,129,199.9,67,9.4,7,3,False
MS,102,area_code_510,True,False,0,224.2,81,243.3,90,147.8,66,12.0,8,3,False
DE,53,area_code_415,False,True,32,131.2,63,227.4,125,178.9,105,12.8,2,2,False
FL,98,area_code_408,False,False,0,288.1,101,137.9,93,206.5,88,0.0,0,0,False
MN,115,area_code_408,False,False,0,173.5,121,168.3,100,138.3,105,7.8,5,1,False
ND,68,area_code_408,False,False,0,219.6,97,141.1,144,205.7,101,10.8,4,2,False
NY,32,area_code_415,False,False,0,164.8,98,229.9,96,167.3,108,14.8,2,2,False
OH,92,area_code_415,False,False,0,145.9,90,148.1,105,241.3,93,8.4,1,2,False
OR,76,area_code_415,False,False,0,169.5,77,124.0,87,219.4,92,10.0,3,0,False
AL,80,area_code_415,False,False,0,135.1,92,185.0,103,147.1,74,14.7,5,3,False
AR,127,area_code_415,True,False,0,143.2,60,179.5,159,171.8,122,6.2,4,4,True
NH,183,area_code_408,False,True,38,178.4,103,184.4,79,203.3,94,7.2,3,3,False
UT,39,area_code_415,False,True,17,230.7,122,207.1,85,208.9,73,9.2,1,3,False
IL,87,area_code_510,False,False,0,231.3,105,171.7,108,67.7,136,13.0,6,1,False
SC,78,area_code_415,False,True,21,160.6,85,223.1,79,124.0,92,9.5,1,2,False
WY,116,area_code_510,False,True,12,221.0,108,151.0,118,179.0,80,9.0,6,2,False
PA,88,area_code_415,False,False,0,158.2,130,234.6,91,291.0,117,12.9,3,2,False
OR,65,area_code_415,False,False,0,116.8,87,178.9,93,182.4,150,14.1,2,1,False
NH,111,area_code_510,False,False,0,197.1,117,227.8,128,214.0,101,9.3,11,0,False
HI,24,area_code_415,False,False,0,235.6,132,115.9,129,185.4,136,16.2,2,0,False
VA,60,area_code_415,False,False,0,229.5,91,157.7,67,162.4,76,13.2,3,2,False
WA,96,area_code_415,False,False,0,276.9,105,246.9,94,254.4,107,10.3,3,1,True
SD,93,area_code_510,False,False,0,215.5,108,230.9,70,144.1,134,13.2,4,0,False
NJ,182,area_code_415,False,False,0,279.1,124,180.5,108,217.5,104,9.5,11,2,True
GA,122,area_code_408,False,False,0,158.2,95,178.5,113,154.3,76,8.5,5,2,False
NH,59,area_code_415,False,False,0,163.5,107,187.1,91,179.1,100,10.3,1,2,False
MO,131,area_code_415,False,False,0,201.1,141,216.5,93,217.4,132,11.5,4,1,False
WI,129,area_code_415,False,True,37,205.0,94,165.4,103,185.0,81,11.7,8,1,False
KY,150,area_code_415,False,True,24,195.7,108,208.8,110,177.0,84,11.7,2,2,False
DC,148,area_code_415,False,False,0,202.0,102,243.2,128,261.3,90,10.9,3,1,False
NJ,87,area_code_510,False,False,0,223.2,109,127.5,86,289.3,83,14.5,4,3,False
MO,106,area_code_415,False,False,0,114.4,104,78.3,101,232.7,78,0.0,0,2,False
AR,95,area_code_415,False,True,27,190.8,76,177.5,104,227.3,95,5.9,1,2,False
NV,110,area_code_408,False,True,34,192.3,114,129.3,114,136.3,102,6.3,12,1,False
GA,101,area_code_415,False,True,33,200.1,108,188.9,122,205.1,90,15.5,4,0,False
KS,119,area_code_415,False,False,0,231.5,82,266.9,97,211.0,118,7.4,10,1,False
KS,92,area_code_408,True,False,0,62.6,111,180.6,126,221.7,80,10.4,2,1,True
DE,183,area_code_415,False,True,8,86.5,119,285.2,97,180.4,133,8.7,2,2,False
TX,86,area_code_408,False,False,0,181.1,124,229.5,105,122.2,91,5.6,6,5,False
UT,81,area_code_415,False,True,24,130.1,117,196.0,61,139.3,123,11.4,5,0,False
DE,92,area_code_415,False,False,0,197.0,84,269.3,105,158.9,105,10.8,4,1,False
OR,100,area_code_415,False,True,31,67.7,67,147.1,116,288.3,103,12.3,2,6,True
AZ,95,area_code_408,False,False,0,238.1,65,187.2,98,190.0,115,11.8,4,4,False
AR,68,area_code_510,False,False,0,172.7,95,139.1,90,174.3,99,11.7,1,2,False
VT,83,area_code_510,False,True,37,133.1,117,171.4,89,218.1,92,10.9,4,3,False
KS,132,area_code_415,False,False,0,190.1,105,182.2,116,279.8,105,13.0,2,1,False
WV,43,area_code_510,False,True,26,141.5,94,196.4,123,172.4,100,12.9,1,3,False
NE,78,area_code_510,False,True,32,210.3,116,192.2,83,246.1,92,10.8,4,6,False
NY,139,area_code_510,False,False,0,236.6,109,169.9,107,212.3,118,11.1,2,1,True
KY,91,area_code_415,True,False,0,145.0,89,175.8,102,223.7,151,16.7,3,2,True
ID,46,area_code_415,False,False,0,124.8,133,157.3,143,199.3,72,8.6,4,2,False
MO,55,area_code_510,False,False,0,189.0,100,118.5,99,248.1,87,17.1,6,0,False
AR,57,area_code_510,False,False,0,192.8,68,158.0,86,235.5,105,12.7,6,1,False
NM,55,area_code_510,False,False,0,119.7,148,231.8,96,222.3,113,4.6,2,2,False
SC,79,area_code_415,False,False,0,134.7,98,189.7,68,221.4,128,11.8,5,2,False
ND,153,area_code_415,False,True,31,218.5,130,134.2,103,118.9,105,9.4,6,0,False
GA,80,area_code_408,False,False,0,142.9,70,221.6,83,121.4,111,15.2,4,1,False
AK,132,area_code_415,False,True,39,175.7,93,187.2,94,225.5,118,8.6,3,2,False
WV,78,area_code_510,False,True,26,189.0,98,191.7,67,217.0,68,11.3,3,0,False
NH,67,area_code_415,False,True,40,104.9,65,216.3,93,217.4,128,9.6,9,1,False
GA,136,area_code_415,False,False,0,163.4,83,249.3,119,249.7,90,9.8,4,7,False
NY,9,area_code_415,False,True,16,88.5,87,178.8,108,228.7,96,11.5,3,2,False
NY,163,area_code_408,False,False,0,247.7,77,269.5,108,167.3,82,9.6,7,0,True
DE,90,area_code_415,False,False,0,272.2,75,122.9,96,252.6,100,9.2,2,0,False
OR,67,area_code_415,False,False,0,245.1,118,185.2,94,193.6,112,8.1,3,3,False
AZ,100,area_code_415,False,True,26,153.7,115,137.8,146,213.5,104,15.9,5,1,False
MD,86,area_code_408,False,False,0,226.3,88,223.0,107,255.6,92,13.0,3,4,False
WY,67,area_code_510,False,False,0,125.0,96,294.5,114,205.7,75,10.2,4,1,True
TN,25,area_code_415,False,False,0,114.4,114,201.1,97,238.4,121,11.6,4,3,False
NE,124,area_code_510,False,False,0,191.3,134,261.5,113,182.3,111,10.0,3,1,False
NC,30,area_code_510,False,False,0,145.0,76,240.7,112,197.1,134,7.1,4,3,False
TN,70,area_code_510,False,False,0,126.3,99,141.6,106,255.9,96,9.6,2,0,False
VT,128,area_code_408,False,False,0,227.9,130,302.6,71,191.5,82,5.5,7,1,True
VA,84,area_code_415,False,False,0,130.2,105,278.0,60,305.4,74,14.0,6,2,False
MT,121,area_code_408,False,False,0,213.2,79,120.7,116,244.4,102,7.5,4,1,False
AZ,113,area_code_415,False,True,32,180.4,89,129.4,124,166.9,124,8.4,2,1,False
VA,102,area_code_510,False,False,0,62.5,68,222.2,114,142.4,96,12.5,5,1,False
TN,114,area_code_510,False,False,0,172.0,145,276.4,101,193.7,100,10.1,9,1,False
MO,86,area_code_415,False,False,0,125.5,139,269.8,93,235.8,110,8.9,8,1,False
MN,130,area_code_415,False,False,0,204.5,88,178.4,85,229.6,78,12.6,8,0,False
MD,97,area_code_415,False,False,0,218.0,86,184.0,94,240.5,110,6.4,8,3,False
VA,133,area_code_408,False,True,39,239.9,107,253.8,77,128.7,85,6.7,3,5,False
SC,89,area_code_415,False,False,0,159.4,126,207.0,108,141.6,121,11.1,4,1,False
TN,80,area_code_415,True,False,0,276.5,122,195.6,79,210.3,78,7.2,3,1,True
IL,68,area_code_415,True,True,29,195.5,113,171.6,96,204.0,85,13.5,9,1,True
AL,95,area_code_408,False,False,0,190.2,119,157.1,70,181.5,120,14.0,6,0,False
MI,47,area_code_510,False,True,30,136.5,101,174.9,74,146.4,91,10.9,3,2,False
TN,127,area_code_415,False,True,28,235.6,124,236.8,113,241.2,127,7.7,2,1,False
SD,87,area_code_415,False,True,21,214.0,113,180.0,114,134.5,82,10.6,5,0,False
NM,148,area_code_408,False,False,0,153.6,148,262.1,87,225.5,99,9.8,3,2,False
MD,116,area_code_408,False,False,0,159.4,79,179.5,88,167.8,71,9.7,2,6,True
HI,105,area_code_415,False,False,0,281.3,124,301.5,96,202.8,109,8.7,3,0,True
AL,146,area_code_415,False,True,32,154.0,80,185.5,91,148.2,107,8.2,4,3,False
NY,117,area_code_415,False,False,0,144.6,115,258.8,66,253.2,113,7.4,9,2,False
MT,73,area_code_415,False,True,33,129.8,112,225.3,96,262.5,104,8.6,3,1,False
IN,100,area_code_510,False,False,0,247.8,117,130.0,95,134.3,125,6.9,2,1,False
NM,147,area_code_408,True,False,0,183.8,113,164.7,110,111.0,87,10.1,4,1,False
NV,41,area_code_510,False,False,0,182.1,89,211.5,104,207.4,124,6.8,1,1,False
NY,171,area_code_415,False,False,0,137.5,110,198.1,109,292.7,131,13.3,5,2,False
UT,32,area_code_510,False,True,26,243.5,137,236.8,108,173.3,149,9.0,9,1,False
MT,109,area_code_510,False,False,0,154.8,82,287.7,109,208.4,80,5.9,9,3,False
UT,96,area_code_408,False,True,26,145.8,108,192.2,89,165.1,96,9.9,2,1,False
ND,58,area_code_408,False,False,0,177.4,107,204.7,104,141.9,123,15.0,9,3,False
NE,82,area_code_408,False,False,0,185.8,36,276.5,134,192.1,104,5.7,7,4,False
NC,165,area_code_415,False,False,0,207.7,109,164.8,94,54.5,91,7.9,3,0,False
GA,130,area_code_415,False,False,0,211.4,91,191.0,62,207.3,109,11.6,3,1,False
NE,135,area_code_415,False,False,0,181.8,92,159.6,63,232.4,78,7.0,6,0,False
MO,74,area_code_415,False,False,0,172.1,105,211.7,99,182.2,105,11.6,6,1,False
AR,33,area_code_408,False,False,0,251.9,81,194.6,96,211.2,87,8.4,3,2,False
CO,49,area_code_415,False,False,0,172.0,142,224.0,100,177.3,86,7.4,1,0,False
AR,156,area_code_510,False,False,0,189.4,114,145.7,96,192.8,121,4.5,13,0,False
CO,102,area_code_510,False,False,0,95.6,88,167.6,106,177.3,95,9.8,2,3,False
NC,58,area_code_510,False,False,0,112.2,95,209.6,108,260.9,78,13.9,1,0,True
ME,53,area_code_510,False,True,22,174.8,110,191.4,104,119.5,103,12.0,2,3,False
KS,138,area_code_510,False,True,26,183.9,83,240.7,93,185.7,125,15.0,3,1,False
TX,208,area_code_510,False,False,0,326.5,67,176.3,113,181.7,102,10.7,6,2,True
VT,124,area_code_415,False,False,0,178.4,72,233.6,134,179.4,91,12.0,2,0,False
NJ,108,area_code_415,False,False,0,239.3,102,223.4,127,251.4,104,10.6,6,0,False
NY,99,area_code_415,False,False,0,145.6,102,230.9,87,181.5,86,11.4,7,1,False
AL,85,area_code_408,False,True,30,173.1,107,247.2,101,158.7,104,11.5,5,1,False
OH,109,area_code_415,False,False,0,193.6,58,148.7,115,282.5,105,13.1,1,2,False
LA,27,area_code_408,False,False,0,82.6,105,204.0,99,224.2,122,9.1,4,1,False
MO,126,area_code_510,False,False,0,150.8,105,157.1,85,210.0,102,10.7,3,0,False
OH,103,area_code_415,False,True,40,164.5,95,228.7,82,194.7,97,7.4,1,4,False
WV,52,area_code_510,False,True,21,195.7,119,106.2,95,157.4,94,5.3,3,2,False
KS,79,area_code_415,False,False,0,177.9,83,167.3,84,223.7,142,15.2,8,0,False
FL,142,area_code_415,False,True,26,220.5,94,239.5,126,254.3,109,5.9,9,2,False
KY,126,area_code_510,False,False,0,175.4,120,98.3,71,201.9,93,10.6,1,0,False
IL,81,area_code_415,False,True,31,210.4,100,225.5,97,168.7,120,9.7,4,0,False
MN,155,area_code_408,True,False,0,250.8,146,152.5,105,148.1,104,10.0,5,2,False
TX,145,area_code_415,False,False,0,187.9,110,197.0,117,167.0,108,4.8,4,2,False
UT,61,area_code_408,False,True,25,163.7,78,113.2,112,134.1,118,9.9,3,3,False
DC,99,area_code_415,False,True,31,244.1,71,203.4,58,234.0,115,7.7,4,3,False
NM,54,area_code_415,False,True,24,92.3,88,193.1,98,99.3,119,11.6,3,2,False
ID,127,area_code_408,False,False,0,102.8,128,143.7,95,191.4,97,10.0,5,1,False
HI,101,area_code_415,False,True,24,114.1,95,161.5,86,176.3,90,13.0,9,2,False
TX,75,area_code_415,False,False,0,305.1,106,188.0,115,235.4,116,8.5,5,0,True
MN,128,area_code_510,True,False,0,192.8,96,136.6,86,151.8,75,13.5,4,1,True
FL,97,area_code_415,False,True,28,202.3,97,69.2,84,257.6,64,6.7,3,1,False
DE,96,area_code_415,False,True,26,175.8,96,206.6,84,178.0,105,11.1,2,2,False
MO,83,area_code_415,False,True,30,272.5,105,253.0,83,180.8,123,8.7,6,3,False
KS,85,area_code_408,False,False,0,164.0,111,229.4,108,220.7,105,9.3,2,1,False
WI,41,area_code_408,True,True,31,278.1,86,268.1,103,241.5,77,11.3,4,0,False
VT,217,area_code_510,False,False,0,99.7,74,183.1,97,220.3,73,14.4,4,0,False
NY,144,area_code_408,False,False,0,61.6,117,77.1,85,173.0,99,8.2,7,4,True
CA,112,area_code_415,False,False,0,111.9,92,114.0,143,146.8,79,14.1,3,5,True
NY,92,area_code_408,False,False,0,265.6,82,180.7,75,211.1,113,8.6,2,1,False
CA,85,area_code_415,False,False,0,195.7,104,182.9,121,324.7,110,8.6,9,0,False
NM,132,area_code_408,False,False,0,169.9,107,209.4,121,206.1,79,11.5,2,1,False
CT,87,area_code_510,False,True,18,186.7,74,220.0,77,224.6,137,12.0,4,1,False
NM,102,area_code_510,False,True,18,144.4,76,160.7,97,200.8,101,9.3,4,0,False
WV,176,area_code_510,False,False,0,304.2,111,306.6,64,207.9,98,9.5,2,7,True
MN,139,area_code_510,False,True,25,96.2,112,178.9,70,182.1,84,12.9,10,2,False
NE,124,area_code_415,False,False,0,182.7,98,197.2,93,220.6,105,8.1,4,1,False
IN,105,area_code_510,False,True,42,101.9,79,223.1,97,241.6,77,12.9,2,0,False
VA,149,area_code_408,False,True,28,212.8,117,159.9,86,222.7,88,0.0,0,1,False
DC,98,area_code_415,False,False,0,162.5,81,159.2,114,157.2,97,9.7,1,2,False
GA,69,area_code_408,False,False,0,215.9,122,270.3,114,301.8,129,6.1,5,4,True
SC,93,area_code_415,False,False,0,190.2,68,262.2,64,130.0,92,8.8,4,0,False
MO,58,area_code_415,False,False,0,149.4,145,196.5,105,209.5,108,14.9,3,1,False
TN,69,area_code_510,False,False,0,195.3,70,216.7,108,259.9,119,12.5,4,3,False
ND,59,area_code_510,False,False,0,179.4,80,232.5,99,175.8,105,14.7,3,0,False
VT,117,area_code_408,True,False,0,167.1,86,177.5,87,249.4,132,14.1,7,2,True
WA,167,area_code_415,False,False,0,169.2,124,173.3,108,216.5,64,12.4,4,4,True
MD,137,area_code_510,False,False,0,111.8,106,281.9,89,233.0,93,11.5,4,4,True
DE,120,area_code_415,False,False,0,253.2,95,210.8,86,253.9,81,9.5,4,5,True
ID,104,area_code_510,False,False,0,97.2,88,155.6,85,261.6,105,12.4,5,0,False
ID,56,area_code_510,False,False,0,150.9,79,161.8,87,167.7,115,11.7,5,3,False
MD,93,area_code_510,True,False,0,131.4,78,219.7,106,155.7,103,11.1,2,1,True
WV,161,area_code_415,False,False,0,159.6,102,212.6,119,151.4,83,12.6,7,5,True
CT,141,area_code_408,False,False,0,51.9,108,162.0,83,223.5,115,10.1,3,3,False
KS,178,area_code_415,False,True,22,112.8,66,232.6,100,194.8,119,14.3,3,1,False
NM,1,area_code_510,False,True,26,69.7,84,250.4,79,230.2,122,8.3,3,2,False
KS,121,area_code_408,False,False,0,150.7,105,197.3,133,169.0,116,9.2,15,1,False
ID,159,area_code_510,False,True,36,288.2,120,227.1,105,198.2,113,13.3,7,1,False
VA,138,area_code_415,False,False,0,251.0,119,91.2,96,142.2,87,13.8,3,3,False
CA,136,area_code_510,False,False,0,132.4,110,254.1,81,176.5,100,13.0,6,2,False
CT,60,area_code_415,True,True,45,135.6,101,94.9,73,154.0,118,9.8,3,4,True
MO,101,area_code_415,True,False,0,156.4,116,130.4,114,207.3,109,7.3,5,1,False
OK,117,area_code_415,False,False,0,212.1,133,276.6,94,195.5,124,9.5,3,2,False
AL,25,area_code_408,False,False,0,264.9,80,281.2,66,166.1,80,8.4,4,1,True
MS,1,area_code_415,False,False,0,144.8,107,112.5,66,218.7,79,13.8,3,1,False
MD,104,area_code_415,False,False,0,153.7,86,160.3,78,176.6,140,9.6,8,1,False
VA,58,area_code_408,False,False,0,181.4,106,145.8,77,200.3,85,7.9,3,0,False
SC,101,area_code_415,False,False,0,158.4,92,188.0,117,219.7,125,13.5,4,4,True
IL,83,area_code_415,False,False,0,195.0,92,210.5,83,180.6,92,11.0,13,0,False
NC,166,area_code_415,False,True,26,152.1,114,89.3,67,194.6,111,7.5,6,0,False
NJ,112,area_code_510,False,True,22,244.7,104,203.1,88,222.0,84,7.4,6,0,False
MN,117,area_code_408,False,True,21,153.2,112,263.3,110,135.0,85,11.9,7,1,False
AL,106,area_code_415,False,False,0,212.9,110,187.0,69,128.1,71,6.3,3,3,False
MI,67,area_code_510,False,True,35,245.4,89,148.2,102,274.0,136,7.5,6,1,False
MI,119,area_code_510,True,True,22,172.1,119,223.6,133,150.0,94,13.9,20,1,True
PA,92,area_code_510,False,False,0,185.9,111,216.8,93,231.0,58,8.5,2,1,False
WI,101,area_code_415,False,False,0,248.6,102,174.9,93,207.2,86,6.1,3,3,False
WI,77,area_code_408,False,False,0,168.1,83,202.0,91,173.2,91,10.0,3,3,False
KS,70,area_code_408,False,False,0,232.1,122,292.3,112,201.2,112,0.0,0,3,False
ND,122,area_code_408,False,False,0,231.2,141,267.8,136,240.3,100,8.8,5,1,True
WV,80,area_code_415,False,True,38,236.6,69,197.5,68,209.5,102,9.5,10,2,False
SC,77,area_code_415,False,False,0,175.8,116,156.2,125,237.4,106,5.0,4,0,False
NH,155,area_code_408,False,False,0,216.7,30,144.3,125,135.3,106,10.8,1,2,False
NC,116,area_code_408,False,True,19,155.7,104,185.4,118,192.7,116,8.2,2,3,False
NE,105,area_code_510,False,False,0,213.3,99,153.1,79,227.9,98,10.8,5,1,False
